,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Master Checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click here for OB data from February 28, 2023 or earlier",,,,,,,TABP,,Tech Operations,,,HRAD,,OD,,HRAD & TABP,,,,,,,,,,,,,,,,,,,,,
"Ex-staff & MFJ Transfer: will insert Note as ""Ex-staff"" or ""MFJ Transfer"" and note the details (if any) at column AH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MFJ: will select as ""MFJ"" for Expat only at column K",,,,,,,#REF!,,50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,578.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 30, 2025",H,TBD,,9999,Engineer,3,#REF!,Site Reliability,Tech Director Office,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Oct 1, 2025",I,TBD,,11110,Senior Accelerator,3,Senior,Site Reliability,3,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 2, 2025",J,TBD,,12221,Engineer,3,Senior,Site Reliability,3,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 3, 2025",K,TBD,,13332,Senior Software Engineer (Frontend),3,Senior,SCI,4,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 4, 2025",L,TBD,,14443,Engineer,3,Senior,SCI,3,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 5, 2025",M,TBD,,15554,Engineer,3,Senior,SCI,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 6, 2025",N,TBD,,16665,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 7, 2025",,TBD,,17776,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 8, 2025",,TBD,,18887,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 9, 2025",,TBD,,19998,Senior Software Engineer (Frontend),3,Senior,AA,3,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 10, 2025",,TBD,,21109,Engineer,3,Senior,AA,4,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 11, 2025",,TBD,,22220,Engineer,3,Senior,AA,3,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 12, 2025",,TBD,,23331,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 13, 2025",,TBD,,24442,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 14, 2025",,TBD,,25553,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 15, 2025",,TBD,,26664,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 16, 2025",,TBD,,27775,Engineer,5,Manager,Conac,4,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 17, 2025",,TBD,,28886,Engineer,5,Manager,HRS,4,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 18, 2025",,TBD,,29997,Engineer,3,Senior,ERP,Tech Director Office,James,Yes,Employee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 19, 2025",,TBD,,31108,Engineer,5,Manager,Home,3,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 20, 2025",,TBD,,32219,Engineer,4,Principal,Conac/ SCI,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
